Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,cluster,Latitude,Longitude,City Based on Longitude Latitude
Indonesia,Palabuhanratu,164,Unhealthy,6,Good,25,Good,14,Good,164,Unhealthy,2,-6.9882409,106.5503728,"-6.9882409, 106.5503728"
Indonesia,Cepu,76,Moderate,2,Good,64,Moderate,1,Good,76,Moderate,0,-7.1411014,111.5929797,"-7.1411014, 111.5929797"
Indonesia,Cibitung,152,Unhealthy,3,Good,152,Unhealthy,1,Good,111,Unhealthy for Sensitive Groups,1,-6.2618811,107.0836549,"-6.2618811, 107.0836549"
Indonesia,Cikupa,207,Very Unhealthy,5,Good,207,Very Unhealthy,4,Good,166,Unhealthy,4,-6.21799745,106.5170845,"-6.21799745, 106.5170845"
Indonesia,Amuntai,45,Good,1,Good,15,Good,0,Good,45,Good,3,-2.4196178,115.2539707,"-2.4196178, 115.2539707"
Indonesia,Rajapolah,58,Moderate,1,Good,35,Good,0,Good,58,Moderate,3,-7.2417512,108.1844423,"-7.2417512, 108.1844423"
Indonesia,Mentok,50,Good,1,Good,30,Good,0,Good,50,Good,3,0.9093,123.1922,"0.9093, 123.1922"
Indonesia,Parakan,99,Moderate,2,Good,57,Moderate,1,Good,99,Moderate,0,-7.2834552,110.102191,"-7.2834552, 110.102191"
Indonesia,Ngemplak,63,Moderate,1,Good,35,Good,0,Good,63,Moderate,0,-7.5258089,110.7965586,"-7.5258089, 110.7965586"
Indonesia,Ambarawa,86,Moderate,2,Good,53,Moderate,1,Good,86,Moderate,0,-7.2598228,110.4045522,"-7.2598228, 110.4045522"
Indonesia,Cibadak,181,Unhealthy,4,Good,181,Unhealthy,3,Good,157,Unhealthy,4,-6.9226316,107.5952567,"-6.9226316, 107.5952567"
Indonesia,Adiwerna,92,Moderate,2,Good,49,Good,1,Good,92,Moderate,0,-6.933645,109.134916,"-6.933645, 109.134916"
Indonesia,Depok,60,Moderate,1,Good,33,Good,0,Good,60,Moderate,3,-6.40719,106.8158371,"-6.40719, 106.8158371"
Indonesia,Rantepao,14,Good,0,Good,14,Good,0,Good,14,Good,3,-2.9704575,119.8987167,"-2.9704575, 119.8987167"
Indonesia,Sumenep,51,Moderate,1,Good,35,Good,0,Good,51,Moderate,3,-7.006745,113.8598666,"-7.006745, 113.8598666"
Indonesia,Karanganyar,72,Moderate,1,Good,35,Good,0,Good,72,Moderate,0,-7.6196965,111.0698003,"-7.6196965, 111.0698003"
Indonesia,Kasihan,57,Moderate,1,Good,33,Good,0,Good,57,Moderate,3,-7.81472015,110.3335862,"-7.81472015, 110.3335862"
Indonesia,Teluk Nibung,64,Moderate,2,Good,32,Good,0,Good,64,Moderate,0,0.4504666,103.4336208,"0.4504666, 103.4336208"
Indonesia,Srandakan,42,Good,1,Good,24,Good,0,Good,42,Good,3,-7.9599802,110.2407375,"-7.9599802, 110.2407375"
Indonesia,Wanasari,93,Moderate,2,Good,46,Good,1,Good,93,Moderate,0,-6.8651849,109.0034952,"-6.8651849, 109.0034952"
Indonesia,Luwuk,18,Good,0,Good,18,Good,0,Good,9,Good,3,-0.9528231,122.7880198,"-0.9528231, 122.7880198"
Indonesia,Sinjai,20,Good,1,Good,20,Good,0,Good,16,Good,3,-5.2006665,120.1441865,"-5.2006665, 120.1441865"
Indonesia,Selogiri,46,Good,1,Good,26,Good,0,Good,46,Good,3,-7.7798988,110.8918628,"-7.7798988, 110.8918628"
Indonesia,Kediri,51,Moderate,1,Good,30,Good,0,Good,51,Moderate,3,-7.8111057,112.0046051,"-7.8111057, 112.0046051"
Indonesia,Jambi,81,Moderate,2,Good,41,Good,0,Good,81,Moderate,0,-1.6394711,102.9454264,"-1.6394711, 102.9454264"
Indonesia,Jatibarang,91,Moderate,2,Good,83,Moderate,1,Good,91,Moderate,0,-6.4728576,108.3064432,"-6.4728576, 108.3064432"
Indonesia,Juwana,90,Moderate,2,Good,73,Moderate,1,Good,90,Moderate,0,-6.7116898,111.1514508,"-6.7116898, 111.1514508"
Indonesia,Kuningan,56,Moderate,1,Good,31,Good,0,Good,56,Moderate,3,-6.9629141,110.4157734,"-6.9629141, 110.4157734"
Indonesia,Bangil,155,Unhealthy,3,Good,96,Moderate,2,Good,155,Unhealthy,1,-7.5989779,112.7782021,"-7.5989779, 112.7782021"
Indonesia,Ciputat,202,Very Unhealthy,5,Good,202,Very Unhealthy,3,Good,168,Unhealthy,4,-6.31107785,106.7184109,"-6.31107785, 106.7184109"
Indonesia,Ambulu,54,Moderate,1,Good,33,Good,0,Good,54,Moderate,3,-8.345037,113.6057621,"-8.345037, 113.6057621"
Indonesia,Buduran,158,Unhealthy,3,Good,133,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,1,-7.5920684,111.8674624,"-7.5920684, 111.8674624"
Indonesia,Cibeureum,63,Moderate,1,Good,40,Good,0,Good,63,Moderate,0,-6.7290294,106.9539074,"-6.7290294, 106.9539074"
Indonesia,Mayong,80,Moderate,2,Good,80,Moderate,1,Good,77,Moderate,0,-6.741736,110.742598,"-6.741736, 110.742598"
